ID,consultant_ID,tool_ID,sessionDate,durationMinutes,estimatedHoursSaved,consultantAdjustedHours,source,taskType
s0000001-0000-0000-0000-000000000001,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111001,2026-09-15,60,0.60,,Automatic,CodeReview
s0000001-0000-0000-0000-000000000002,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111002,2026-09-14,45,0.49,,Automatic,DocumentDrafting
s0000001-0000-0000-0000-000000000003,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111003,2026-09-13,90,1.05,,Automatic,DataAnalysis
s0000001-0000-0000-0000-000000000004,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111004,2026-09-12,30,0.35,,Automatic,CodeReview
s0000001-0000-0000-0000-000000000005,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111001,2026-09-10,75,0.75,,Automatic,Research
s0000001-0000-0000-0000-000000000006,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111002,2026-09-08,50,0.54,,Automatic,DocumentDrafting
s0000001-0000-0000-0000-000000000007,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111003,2026-09-05,40,0.47,,Automatic,DataAnalysis
s0000001-0000-0000-0000-000000000008,dddddddd-dddd-dddd-dddd-dddddddddddd,11111111-1111-1111-1111-111111111005,2026-09-03,30,0.30,0.25,Manual,Other
s0000002-0000-0000-0000-000000000001,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,11111111-1111-1111-1111-111111111001,2026-08-25,60,0.60,,Automatic,DocumentDrafting
s0000002-0000-0000-0000-000000000002,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,11111111-1111-1111-1111-111111111002,2026-08-20,45,0.49,,Automatic,CodeReview
s0000002-0000-0000-0000-000000000003,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,11111111-1111-1111-1111-111111111003,2026-08-15,30,0.35,,Automatic,Research
s0000003-0000-0000-0000-000000000001,ffffffff-ffff-ffff-ffff-ffffffffffff,11111111-1111-1111-1111-111111111001,2026-07-10,45,0.45,,Automatic,DocumentDrafting
s0000003-0000-0000-0000-000000000002,ffffffff-ffff-ffff-ffff-ffffffffffff,11111111-1111-1111-1111-111111111002,2026-07-05,30,0.33,,Automatic,CodeReview
s0000004-0000-0000-0000-000000000001,90254630-1d00-4334-9773-d54a6fd19ccd,11111111-1111-1111-1111-111111111001,2026-09-12,90,0.90,,Automatic,DataAnalysis
s0000004-0000-0000-0000-000000000002,90254630-1d00-4334-9773-d54a6fd19ccd,11111111-1111-1111-1111-111111111003,2026-09-10,60,0.70,,Automatic,Research
s0000004-0000-0000-0000-000000000003,90254630-1d00-4334-9773-d54a6fd19ccd,11111111-1111-1111-1111-111111111004,2026-09-08,45,0.53,,Automatic,CodeReview
s0000004-0000-0000-0000-000000000004,90254630-1d00-4334-9773-d54a6fd19ccd,11111111-1111-1111-1111-111111111002,2026-09-05,30,0.33,,Automatic,DocumentDrafting
s0000005-0000-0000-0000-000000000001,bd262602-3fbb-4aaf-a2fb-4b0dadb3f840,11111111-1111-1111-1111-111111111001,2026-09-10,60,0.60,,Automatic,CodeReview
s0000005-0000-0000-0000-000000000002,bd262602-3fbb-4aaf-a2fb-4b0dadb3f840,11111111-1111-1111-1111-111111111004,2026-09-08,90,1.05,,Automatic,DataAnalysis
s0000005-0000-0000-0000-000000000003,bd262602-3fbb-4aaf-a2fb-4b0dadb3f840,11111111-1111-1111-1111-111111111002,2026-09-06,45,0.49,,Automatic,DocumentDrafting
s0000006-0000-0000-0000-000000000001,0a2e35e7-e992-478f-99a9-e494239d332d,11111111-1111-1111-1111-111111111001,2026-08-18,60,0.60,,Automatic,Research
s0000006-0000-0000-0000-000000000002,0a2e35e7-e992-478f-99a9-e494239d332d,11111111-1111-1111-1111-111111111003,2026-08-10,30,0.35,,Automatic,DataAnalysis
s0000007-0000-0000-0000-000000000001,2fbc5dbc-ce43-4ec6-ae26-ed7768b5372f,11111111-1111-1111-1111-111111111001,2026-07-05,45,0.45,,Automatic,DocumentDrafting
s0000008-0000-0000-0000-000000000001,329abc1e-e1cc-4903-b776-3424e565b440,11111111-1111-1111-1111-111111111001,2026-09-14,60,0.60,,Automatic,CodeReview
s0000008-0000-0000-0000-000000000002,329abc1e-e1cc-4903-b776-3424e565b440,11111111-1111-1111-1111-111111111002,2026-09-12,90,0.98,,Automatic,DocumentDrafting
s0000008-0000-0000-0000-000000000003,329abc1e-e1cc-4903-b776-3424e565b440,11111111-1111-1111-1111-111111111003,2026-09-10,45,0.53,,Automatic,DataAnalysis
s0000008-0000-0000-0000-000000000004,329abc1e-e1cc-4903-b776-3424e565b440,11111111-1111-1111-1111-111111111004,2026-09-07,30,0.35,,Automatic,Research
s0000009-0000-0000-0000-000000000001,fb8f26f3-186a-424d-bd3f-cdc296727336,11111111-1111-1111-1111-111111111002,2026-09-11,75,0.81,,Automatic,CodeReview
s0000009-0000-0000-0000-000000000002,fb8f26f3-186a-424d-bd3f-cdc296727336,11111111-1111-1111-1111-111111111004,2026-09-09,60,0.70,,Automatic,DataAnalysis
s0000009-0000-0000-0000-000000000003,fb8f26f3-186a-424d-bd3f-cdc296727336,11111111-1111-1111-1111-111111111001,2026-09-06,45,0.45,,Automatic,Research
s0000010-0000-0000-0000-000000000001,7b64e305-8b7c-4aca-9ae4-495acce77bc5,11111111-1111-1111-1111-111111111001,2026-08-22,60,0.60,,Automatic,DocumentDrafting
s0000010-0000-0000-0000-000000000002,7b64e305-8b7c-4aca-9ae4-495acce77bc5,11111111-1111-1111-1111-111111111003,2026-08-15,30,0.35,,Automatic,Research
s0000011-0000-0000-0000-000000000001,acc70f43-16b1-4f2f-812e-f8ecec5489a4,11111111-1111-1111-1111-111111111001,2026-09-13,90,0.90,,Automatic,DataAnalysis
s0000011-0000-0000-0000-000000000002,acc70f43-16b1-4f2f-812e-f8ecec5489a4,11111111-1111-1111-1111-111111111002,2026-09-11,60,0.65,,Automatic,CodeReview
s0000011-0000-0000-0000-000000000003,acc70f43-16b1-4f2f-812e-f8ecec5489a4,11111111-1111-1111-1111-111111111004,2026-09-09,45,0.53,,Automatic,DocumentDrafting
s0000012-0000-0000-0000-000000000001,6d87208f-6ab8-43be-afde-70da91d1ca77,11111111-1111-1111-1111-111111111001,2026-07-20,60,0.60,,Automatic,Research
s0000013-0000-0000-0000-000000000001,ad87c02b-3269-47f5-a8c7-250f965cf110,11111111-1111-1111-1111-111111111001,2026-08-30,45,0.45,,Automatic,CodeReview
s0000013-0000-0000-0000-000000000002,ad87c02b-3269-47f5-a8c7-250f965cf110,11111111-1111-1111-1111-111111111003,2026-08-25,30,0.35,,Automatic,DataAnalysis
s0000014-0000-0000-0000-000000000001,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,11111111-1111-1111-1111-111111111001,2026-09-14,60,0.60,,Automatic,Research
s0000014-0000-0000-0000-000000000002,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,11111111-1111-1111-1111-111111111002,2026-09-12,45,0.49,,Automatic,DocumentDrafting
s0000015-0000-0000-0000-000000000001,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,11111111-1111-1111-1111-111111111001,2026-09-13,90,0.90,,Automatic,DataAnalysis
s0000015-0000-0000-0000-000000000002,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,11111111-1111-1111-1111-111111111003,2026-09-10,60,0.70,,Automatic,CodeReview
s0000016-0000-0000-0000-000000000001,b6b4e042-8f6e-4f5f-b5e5-07804262ab88,11111111-1111-1111-1111-111111111001,2026-09-15,30,0.30,,Automatic,Research
s0000016-0000-0000-0000-000000000002,b6b4e042-8f6e-4f5f-b5e5-07804262ab88,11111111-1111-1111-1111-111111111004,2026-09-14,45,0.53,,Automatic,CodeReview
s0000017-0000-0000-0000-000000000001,238251a7-2498-4d41-ba9e-1061c91cc8fd,11111111-1111-1111-1111-111111111001,2026-09-01,60,0.60,,Automatic,DocumentDrafting
s0000017-0000-0000-0000-000000000002,238251a7-2498-4d41-ba9e-1061c91cc8fd,11111111-1111-1111-1111-111111111002,2026-08-28,45,0.49,,Automatic,CodeReview
s0000017-0000-0000-0000-000000000003,238251a7-2498-4d41-ba9e-1061c91cc8fd,11111111-1111-1111-1111-111111111003,2026-08-20,30,0.35,,Automatic,DataAnalysis
s0000017-0000-0000-0000-000000000004,238251a7-2498-4d41-ba9e-1061c91cc8fd,11111111-1111-1111-1111-111111111005,2026-08-15,20,0.20,0.15,Manual,Other
s0000018-0000-0000-0000-000000000001,a798a3ec-026a-44ee-b04f-453010aac2a6,11111111-1111-1111-1111-111111111001,2026-09-14,90,0.90,,Automatic,DataAnalysis
s0000018-0000-0000-0000-000000000002,a798a3ec-026a-44ee-b04f-453010aac2a6,11111111-1111-1111-1111-111111111002,2026-09-12,60,0.65,,Automatic,CodeReview
s0000018-0000-0000-0000-000000000003,a798a3ec-026a-44ee-b04f-453010aac2a6,11111111-1111-1111-1111-111111111003,2026-09-10,45,0.53,,Automatic,Research
s0000018-0000-0000-0000-000000000004,a798a3ec-026a-44ee-b04f-453010aac2a6,11111111-1111-1111-1111-111111111004,2026-09-08,30,0.35,,Automatic,DocumentDrafting
s0000019-0000-0000-0000-000000000001,cf41c7fd-d2ad-4344-9725-cc3bd4535d3d,11111111-1111-1111-1111-111111111001,2026-09-13,75,0.75,,Automatic,DocumentDrafting
s0000019-0000-0000-0000-000000000002,cf41c7fd-d2ad-4344-9725-cc3bd4535d3d,11111111-1111-1111-1111-111111111003,2026-09-11,60,0.70,,Automatic,DataAnalysis
s0000019-0000-0000-0000-000000000003,cf41c7fd-d2ad-4344-9725-cc3bd4535d3d,11111111-1111-1111-1111-111111111004,2026-09-09,45,0.53,,Automatic,CodeReview
